Function Stack,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
insert,4.952645,4.952645,0.0,4.952645,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
 insert_random,2.491983,2.491983,0.0,2.491983,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_random,insert_concurrent.c,0x2d70
  bptreeThreadFunctionWrapper,2.491983,2.491983,0.0,2.491983,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
   start_thread,2.491983,2.491983,0.0,2.491983,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
    clone,2.491983,2.491983,0.0,2.491983,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
 insert_initials,2.460661,2.460661,0.0,2.460661,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert_initials,insert_concurrent.c,0x2ca0
  bptreeThreadFunctionWrapper,2.460661,2.460661,0.0,2.460661,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,bptreeThreadFunctionWrapper,thread_manager.c,0x19850
   start_thread,2.460661,2.460661,0.0,2.460661,0.0,0.0,0.0,0.0,0.0,libpthread.so.0,start_thread,pthread_create.c,0x7600
    clone,2.460661,2.460661,0.0,2.460661,0.0,0.0,0.0,0.0,0.0,libc.so.6,clone,clone.S,0x121a00
NVMHTM_commit,0.847321,0.847321,0.0,0.847321,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,NVMHTM_commit,nvhtm_helper.cpp,0x21407
 insert,0.847321,0.847321,0.0,0.847321,0.0,0.0,0.0,0.0,0.0,insert_concurrent.exe,insert,bptree.c,0x8d20
