type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,551498,44332,345534,78651
db,65824,5,478871,71968,253036,85731
db,65824,9,473014,27392,281512,78582
db,65824,13,441799,17915,265957,72003
db,65824,17,381255,14274,226306,69894
db,65824,21,392418,17318,237873,65400
db,98592,1,507959,34389,314484,79497
db,98592,5,498265,63907,280826,85243
db,98592,9,431794,26257,241571,79545
db,98592,13,420584,16597,248114,71450
db,98592,17,419151,12730,260938,69401
db,98592,21,414601,12062,259589,67086
db,131360,1,406812,51820,234849,37944
db,131360,5,453745,66510,270304,47183
db,131360,9,401804,30356,234715,50236
db,131360,13,322172,19841,178766,40311
db,131360,17,387671,22202,253501,39287
db,131360,21,384279,24264,248309,40085
db,164128,1,455467,47845,287908,37515
db,164128,5,458824,58177,286787,47333
db,164128,9,452505,26333,298128,46952
db,164128,13,416625,21503,276852,42770
db,164128,17,410624,16455,285762,38805
db,164128,21,416102,19558,285425,38477
db,196896,1,496687,45931,330157,37638
db,196896,5,350134,64869,169772,47096
db,196896,9,385474,30852,231565,48554
db,196896,13,390273,21135,248475,42711
db,196896,17,372685,22009,228436,43647
db,196896,21,380080,19214,250101,39222
db,229664,1,442368,47089,275753,37904
db,229664,5,423676,65421,244246,47139
db,229664,9,437325,23567,284734,44405
db,229664,13,425111,25548,269552,44323
db,229664,17,395020,19013,264686,37978
db,229664,21,393963,20036,261156,39379
db,262432,1,454641,25322,325223,19132
db,262432,5,425538,60231,274541,22229
db,262432,9,428480,48025,267231,29473
db,262432,13,416584,20650,266140,30341
db,262432,17,383650,16212,249259,36221
db,262432,21,378960,9893,226535,23907
