type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,190265,1118,42370,9980
db,65824,2,116121,2486,43621,10785
db,65824,4,125358,3203,43185,11972
db,65824,8,130389,4924,44381,12646
db,65824,16,127577,11782,44298,11573
db,98592,1,198058,1102,41431,10046
db,98592,2,119268,1629,41985,11089
db,98592,4,118221,2225,41585,12268
db,98592,8,123507,4070,42178,12387
db,98592,16,125447,10321,42425,11570
db,131360,1,227001,564,41491,4733
db,131360,2,118658,1554,41974,5136
db,131360,4,120749,2428,41600,5742
db,131360,8,124215,4738,43293,5534
db,131360,16,127545,9631,41741,5316
db,164128,1,208796,546,42505,4658
db,164128,2,124346,1363,43653,4921
db,164128,4,124231,1899,43342,5639
db,164128,8,132429,3923,44349,5399
db,164128,16,131348,8310,43808,5402
db,196896,1,214573,519,42110,4771
db,196896,2,130617,997,43271,4948
db,196896,4,125761,1692,43378,5619
db,196896,8,130046,4176,44385,5376
db,196896,16,134718,9880,43956,5078
db,229664,1,219677,518,42214,4652
db,229664,2,126389,1075,43436,4932
db,229664,4,130042,1586,42951,5696
db,229664,8,135632,3992,44268,5508
db,229664,16,132551,8217,44011,5430
db,262432,1,292749,285,41064,2235
db,262432,2,174781,997,42565,2349
db,262432,4,163903,2422,42642,2602
db,262432,8,163906,4312,43302,2540
db,262432,16,171562,9436,43658,2502
