type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,230310,6044,39743,26251
plain,65824,2,154256,13689,38623,27447
plain,65824,4,156137,13307,39515,28822
plain,65824,8,150229,10211,39509,28910
plain,65824,16,153483,9027,39873,27795
plain,98592,1,223709,6718,39525,26480
plain,98592,2,145877,12580,37950,27475
plain,98592,4,150611,12254,39615,28800
plain,98592,8,147398,9517,39928,28726
plain,98592,16,146899,10948,39582,27995
plain,131360,1,224497,7777,40789,13344
plain,131360,2,140859,9028,40345,13557
plain,131360,4,140211,9599,40542,14232
plain,131360,8,142926,9953,41675,14505
plain,131360,16,146449,10320,40872,17331
plain,164128,1,224312,9499,40778,13176
plain,164128,2,139263,12147,40252,13682
plain,164128,4,138274,13161,40817,14142
plain,164128,8,140687,11381,41882,15114
plain,164128,16,135016,7460,41104,16019
plain,196896,1,226436,9344,40715,13300
plain,196896,2,133491,10155,40735,13604
plain,196896,4,133501,10664,41299,14284
plain,196896,8,139099,10909,41743,15122
plain,196896,16,130111,7176,41241,17276
plain,229664,1,225858,10066,40694,13256
plain,229664,2,139281,11698,40028,13523
plain,229664,4,141121,10392,41096,14038
plain,229664,8,143527,12184,42066,14697
plain,229664,16,138494,9091,40558,15889
plain,262432,1,240920,2485,40798,6514
plain,262432,2,136840,3857,40302,6785
plain,262432,4,132609,3619,41029,6993
plain,262432,8,142361,6116,42010,7040
plain,262432,16,137763,4295,41403,8746
