type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,211001,9584,64670,33048
plain,65824,2,195134,40498,53250,32652
plain,65824,4,198658,45304,51808,36663
plain,65824,8,205587,35130,54918,43576
plain,65824,16,198712,21003,60806,39984
plain,98592,1,215975,8838,65145,32960
plain,98592,2,199553,40414,52945,32915
plain,98592,4,195988,42130,52328,36569
plain,98592,8,209883,32227,55482,43941
plain,98592,16,202134,13971,61592,38622
plain,131360,1,195854,11048,66972,16362
plain,131360,2,176636,32217,58377,16490
plain,131360,4,178982,41247,54223,19103
plain,131360,8,193836,48528,53166,24640
plain,131360,16,190921,23052,60604,25348
plain,164128,1,191683,9975,67045,16473
plain,164128,2,174797,30892,58151,16337
plain,164128,4,178071,39369,54177,19203
plain,164128,8,190370,49140,51530,24640
plain,164128,16,185389,18750,60991,23340
plain,196896,1,192927,7771,66552,16559
plain,196896,2,171183,26243,59098,16244
plain,196896,4,176368,38446,54355,19264
plain,196896,8,186524,48663,51939,23896
plain,196896,16,180724,17011,62735,23375
plain,229664,1,200433,12375,66837,16419
plain,229664,2,174733,31073,58579,16325
plain,229664,4,178686,40788,53569,19212
plain,229664,8,193620,44400,53855,25115
plain,229664,16,189090,18765,62020,23783
plain,262432,1,215753,2994,66767,8369
plain,262432,2,160444,21393,59817,8319
plain,262432,4,161965,35851,53550,9431
plain,262432,8,180502,60788,47850,9873
plain,262432,16,213680,82045,45192,11327
