type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,145419,705,41212,7765
db,65824,2,124887,873,41573,8357
db,65824,4,123864,921,41622,8071
db,65824,8,122392,808,42443,8032
db,65824,16,119053,1034,41549,7356
db,98592,1,143702,579,40105,7955
db,98592,2,119035,764,40934,8259
db,98592,4,115536,895,40729,8207
db,98592,8,116420,779,41493,8240
db,98592,16,114190,1104,40306,7493
db,131360,1,159917,255,40424,3684
db,131360,2,136473,476,41131,3721
db,131360,4,137467,537,40337,3788
db,131360,8,138650,559,41339,3590
db,131360,16,129607,743,40515,3406
db,164128,1,166100,251,41417,3556
db,164128,2,130267,497,41766,3657
db,164128,4,132432,601,41350,3656
db,164128,8,130753,607,42815,3623
db,164128,16,128247,712,41835,3365
db,196896,1,157316,280,41032,3539
db,196896,2,126847,546,41946,3682
db,196896,4,131858,578,41836,3577
db,196896,8,125801,561,42717,3535
db,196896,16,127640,771,41645,3264
db,229664,1,160591,286,41659,3605
db,229664,2,127968,499,41740,3720
db,229664,4,123402,527,41773,3617
db,229664,8,124998,552,42132,3613
db,229664,16,117606,668,42122,3315
db,262432,1,229051,167,39765,1590
db,262432,2,199679,400,40247,1616
db,262432,4,175413,420,39936,1777
db,262432,8,187389,437,41488,1564
db,262432,16,177320,627,40488,1510
