type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,166034,5358,38714,20698
plain,65824,2,153203,7647,37413,20741
plain,65824,4,142244,4895,39259,20582
plain,65824,8,145594,7365,39481,20519
plain,65824,16,145696,9151,38954,20651
plain,98592,1,164841,5741,39216,20365
plain,98592,2,160365,8405,37895,20692
plain,98592,4,146210,4112,39112,20894
plain,98592,8,150612,8007,39095,20656
plain,98592,16,151869,7762,39717,20560
plain,131360,1,157788,7507,40423,10388
plain,131360,2,138770,6037,39617,10155
plain,131360,4,139409,7809,39953,10239
plain,131360,8,139531,7644,41015,10158
plain,131360,16,141429,7929,40004,10240
plain,164128,1,158045,7215,40582,10326
plain,164128,2,146323,7502,39772,10192
plain,164128,4,140306,6670,39886,10301
plain,164128,8,136525,8333,40720,10253
plain,164128,16,133082,6650,40271,10199
plain,196896,1,171270,7457,40428,10313
plain,196896,2,143217,7829,39188,10228
plain,196896,4,141666,7424,40217,10140
plain,196896,8,141796,6390,41152,10206
plain,196896,16,146053,5180,40043,10269
plain,229664,1,166681,8476,40027,10474
plain,229664,2,143418,8115,39825,10140
plain,229664,4,144781,8849,40279,10211
plain,229664,8,147641,6730,40701,10206
plain,229664,16,142676,8096,40468,10171
plain,262432,1,176616,1523,40509,5063
plain,262432,2,152011,2151,39700,5134
plain,262432,4,146606,2155,40628,5078
plain,262432,8,153534,2263,40703,5166
plain,262432,16,154094,2250,40217,5004
