type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,185081,1062,42634,10211
db,65824,2,122725,2485,43661,10809
db,65824,4,126020,3280,44223,11787
db,65824,8,126099,5649,44233,12247
db,65824,16,128217,10221,43725,11460
db,98592,1,186693,1155,42868,10014
db,98592,2,122514,1630,43354,10698
db,98592,4,125760,2414,44143,11839
db,98592,8,126021,4938,43726,12431
db,98592,16,126710,8808,44209,11812
db,131360,1,220303,568,41890,4606
db,131360,2,123274,1266,42774,4949
db,131360,4,133544,2754,42215,5610
db,131360,8,131603,4209,43495,5452
db,131360,16,138312,9513,42529,5239
db,164128,1,201202,628,41985,4657
db,164128,2,135906,1174,42171,4992
db,164128,4,134236,2036,42568,5474
db,164128,8,135929,4150,43010,5351
db,164128,16,138758,9966,43275,5163
db,196896,1,227544,486,42661,4613
db,196896,2,127394,1051,43742,5112
db,196896,4,134565,1652,43659,5510
db,196896,8,129933,3401,44150,5474
db,196896,16,136491,9779,44564,5166
db,229664,1,230150,494,43230,4523
db,229664,2,123801,1153,44191,4842
db,229664,4,131083,1667,43924,5699
db,229664,8,133552,4079,44569,5448
db,229664,16,138829,9912,43782,5045
db,262432,1,310885,264,40105,2080
db,262432,2,179612,1069,42029,2273
db,262432,4,186081,1732,41587,2561
db,262432,8,192560,3959,42227,2448
db,262432,16,198284,9543,41842,2428
