type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,240117,5652,39451,26585
plain,65824,2,155822,14500,38099,27312
plain,65824,4,150270,11944,38950,28976
plain,65824,8,150192,10582,40803,28387
plain,65824,16,150201,9540,39584,27685
plain,98592,1,230176,5907,38953,26639
plain,98592,2,150570,14556,38263,27238
plain,98592,4,150851,12727,39552,28674
plain,98592,8,147769,9342,39778,28371
plain,98592,16,147153,10202,39468,28032
plain,131360,1,280325,7808,58725,13206
plain,131360,2,145618,10664,39924,13546
plain,131360,4,144372,10977,40828,14191
plain,131360,8,141799,12338,41660,14850
plain,131360,16,140023,9467,40893,15888
plain,164128,1,251890,7282,41212,13079
plain,164128,2,137275,8587,40391,13521
plain,164128,4,142714,8934,41106,14161
plain,164128,8,143629,10959,41583,15077
plain,164128,16,146206,9075,40711,15586
plain,196896,1,250786,7912,40631,13131
plain,196896,2,136473,7274,40070,13556
plain,196896,4,142523,9477,40894,14134
plain,196896,8,141811,8290,41498,14704
plain,196896,16,143032,7608,40645,16144
plain,229664,1,237003,11200,41065,13147
plain,229664,2,140887,11298,40328,13601
plain,229664,4,146829,12194,41387,14026
plain,229664,8,145679,10852,41723,14691
plain,229664,16,147253,14551,41413,16816
plain,262432,1,240910,2133,41478,6524
plain,262432,2,145988,3500,40371,6777
plain,262432,4,137208,4247,41075,7154
plain,262432,8,128993,5546,41935,7195
plain,262432,16,147078,8917,41207,8572
