type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,211911,10405,64388,33168
plain,65824,2,196339,43544,53016,32764
plain,65824,4,200375,48432,51937,36648
plain,65824,8,206084,38378,54652,43429
plain,65824,16,199467,22373,60193,39403
plain,98592,1,203963,10480,63967,33029
plain,98592,2,196891,44027,52894,32581
plain,98592,4,196130,44136,52138,36402
plain,98592,8,209854,35358,55279,43560
plain,98592,16,208340,18037,60939,39542
plain,131360,1,190007,10401,66800,16372
plain,131360,2,173160,29999,58300,16437
plain,131360,4,177810,40615,54303,19075
plain,131360,8,193443,57779,51366,22975
plain,131360,16,184408,20953,60850,23900
plain,164128,1,180886,8495,66952,16511
plain,164128,2,173268,31097,57787,16516
plain,164128,4,175835,38089,54029,19338
plain,164128,8,194596,52243,51166,22998
plain,164128,16,185234,17110,62473,24174
plain,196896,1,200461,12445,66240,16360
plain,196896,2,175103,31844,58534,16496
plain,196896,4,176633,41699,53238,19012
plain,196896,8,190561,53555,51634,23416
plain,196896,16,187078,23557,60326,26367
plain,229664,1,189537,11308,66159,16502
plain,229664,2,174446,33091,57442,16460
plain,229664,4,178061,41265,54237,18918
plain,229664,8,188774,48961,53230,24503
plain,229664,16,186994,18008,62841,23867
plain,262432,1,212130,3291,66852,8237
plain,262432,2,161980,21593,59787,8358
plain,262432,4,163037,35382,54507,9392
plain,262432,8,178826,58965,49904,10420
plain,262432,16,202988,83005,45112,11821
