type,logsize,thread,abort,conflict,capacity,explicit
db,65824,1,152322,648,40997,7908
db,65824,2,121441,851,41817,8273
db,65824,4,124215,942,42192,7724
db,65824,8,128138,788,42405,8020
db,65824,16,118655,982,41655,7333
db,98592,1,155159,605,41221,7659
db,98592,2,117633,822,42154,8276
db,98592,4,118781,917,41738,7829
db,98592,8,122459,830,42350,8005
db,98592,16,116233,1105,42151,7286
db,131360,1,171640,296,40576,3515
db,131360,2,146178,385,41213,3635
db,131360,4,144283,561,40023,3690
db,131360,8,140845,637,41679,3487
db,131360,16,141970,732,40671,3338
db,164128,1,167569,312,40785,3451
db,164128,2,139827,536,41386,3592
db,164128,4,130603,677,41187,3660
db,164128,8,139219,654,41820,3438
db,164128,16,133953,754,40914,3232
db,196896,1,165906,282,41132,3314
db,196896,2,136619,464,42009,3423
db,196896,4,144048,553,41707,3417
db,196896,8,142185,531,42090,3354
db,196896,16,148169,656,41791,3096
db,229664,1,167965,264,41353,3497
db,229664,2,136227,462,41908,3628
db,229664,4,137691,547,41591,3631
db,229664,8,135954,606,42295,3578
db,229664,16,134627,762,41964,3303
db,262432,1,242447,148,39348,1511
db,262432,2,195956,376,40185,1613
db,262432,4,184880,456,40223,1663
db,262432,8,184354,459,40577,1555
db,262432,16,191646,564,40287,1390
