type,logsize,thread,abort,conflict,capacity,explicit
plain,65824,1,168516,5461,38534,20735
plain,65824,2,146573,7557,37372,20709
plain,65824,4,147732,6529,39141,20723
plain,65824,8,154152,7481,38928,20674
plain,65824,16,151373,9901,39298,20354
plain,98592,1,184373,5711,38767,20686
plain,98592,2,156590,6834,37790,20486
plain,98592,4,156878,5422,39172,20657
plain,98592,8,162783,6990,39132,20599
plain,98592,16,164807,7234,38985,20780
plain,131360,1,172271,6047,39875,10325
plain,131360,2,150247,6827,39550,10316
plain,131360,4,153201,5753,40028,10315
plain,131360,8,147459,6469,40950,10153
plain,131360,16,150639,7186,40432,10129
plain,164128,1,176996,9121,39754,10171
plain,164128,2,148726,8652,39606,10141
plain,164128,4,157412,7935,39970,10196
plain,164128,8,149442,7356,40283,10415
plain,164128,16,147795,6935,39707,10144
plain,196896,1,169135,7994,39922,10268
plain,196896,2,139590,7256,39447,10159
plain,196896,4,146786,7184,39662,10243
plain,196896,8,146232,7448,40535,10459
plain,196896,16,144246,8266,40091,10108
plain,229664,1,176211,7908,40067,10150
plain,229664,2,159373,8440,39036,10299
plain,229664,4,151167,8327,39730,10150
plain,229664,8,155147,6448,40533,10238
plain,229664,16,141186,7579,39800,10148
plain,262432,1,190596,1850,39990,5071
plain,262432,2,159138,2244,39259,5152
plain,262432,4,174151,2410,40477,5167
plain,262432,8,164602,2117,40671,5071
plain,262432,16,167433,2202,39761,5125
