type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,180695,2744,67690,29401
db,33056,2,185512,27498,58284,32499
db,33056,4,194273,45092,52470,36069
db,33056,8,211649,72452,47086,35536
db,33056,16,242473,108473,45005,32157
db,65824,1,173590,1221,68393,12804
db,65824,2,166764,24693,59747,14380
db,65824,4,170460,40036,53390,16496
db,65824,8,186529,65901,48018,16659
db,65824,16,218155,101487,45662,15059
db,131360,1,166322,514,68521,6059
db,131360,2,157252,23967,59972,6626
db,131360,4,160192,37858,53803,7542
db,131360,8,176242,67006,47020,7113
db,131360,16,203523,98045,44904,6867
db,262432,1,218589,311,68181,2645
db,262432,2,157771,23288,60220,2973
db,262432,4,159584,40019,53248,3308
db,262432,8,174564,67190,47575,3228
db,262432,16,228847,96334,44598,3256
db,524576,1,246756,146,66785,1375
db,524576,2,161863,22574,60276,1409
db,524576,4,162611,40228,52814,1669
db,524576,8,184118,66780,46435,1557
