type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,34066.2000000,824.2000000,278.8000000,12131.6000000
plain,33056,2,15918.4000000,2164.4000000,309.6000000,12641.0000000
plain,33056,4,16724.4000000,1924.4000000,349.6000000,12719.0000000
plain,33056,8,18823.0000000,1077.0000000,1393.8000000,12345.0000000
plain,33056,16,18816.0000000,686.8000000,1208.4000000,12382.0000000
plain,65824,1,63007.6000000,763.6000000,270.0000000,5941.8000000
plain,65824,2,13455.2000000,6216.8000000,350.8000000,6517.2000000
plain,65824,4,19810.2000000,10784.0000000,398.6000000,8038.6000000
plain,65824,8,15283.4000000,3827.0000000,1157.0000000,8307.6000000
plain,65824,16,12693.6000000,1128.4000000,1296.2000000,7325.2000000
plain,131360,1,22027.2000000,1502.4000000,302.0000000,2940.0000000
plain,131360,2,7377.6000000,3084.8000000,336.6000000,3320.8000000
plain,131360,4,10789.4000000,5982.0000000,390.8000000,3933.0000000
plain,131360,8,10985.6000000,4153.2000000,1165.4000000,4684.8000000
plain,131360,16,11886.6000000,1486.6000000,1022.4000000,6428.2000000
plain,262432,1,51715.2000000,368.2000000,269.8000000,1463.0000000
plain,262432,2,4090.0000000,1315.4000000,330.6000000,1666.4000000
plain,262432,4,7255.8000000,3997.2000000,372.2000000,2014.2000000
plain,262432,8,8021.6000000,3395.6000000,1163.8000000,2192.4000000
plain,262432,16,12120.4000000,3824.4000000,1118.8000000,4605.4000000
plain,524576,1,31339.0000000,78.2000000,272.4000000,729.6000000
plain,524576,2,2753.2000000,850.0000000,330.6000000,848.8000000
plain,524576,4,6055.4000000,3751.6000000,371.0000000,997.4000000
plain,524576,8,6970.6000000,3587.4000000,1270.0000000,1161.2000000
plain,524576,16,10796.8000000,5170.8000000,1013.8000000,2409.4000000
plain,1048864,1,53086.2000000,54.6000000,264.6000000,364.0000000
plain,1048864,2,3163.0000000,994.2000000,332.6000000,410.6000000
plain,1048864,4,6845.4000000,3989.0000000,376.4000000,471.0000000
plain,1048864,8,8099.2000000,3669.4000000,1382.4000000,650.6000000
plain,1048864,16,14568.6000000,5628.8000000,978.4000000,1463.0000000
