type,logsize,thread,abort,conflict,capacity,explicit
plain,33056,1,83719.4000000,2434.8000000,22338.0000000,26224.4000000
plain,33056,2,102537.0000000,45806.4000000,10831.6000000,23662.6000000
plain,33056,4,87195.0000000,19729.6000000,14884.0000000,28116.0000000
plain,33056,8,98424.4000000,15160.4000000,19487.8000000,28505.8000000
plain,33056,16,96618.4000000,8391.8000000,22723.6000000,27466.6000000
plain,65824,1,75363.2000000,5284.0000000,23817.2000000,12648.4000000
plain,65824,2,83456.4000000,35941.6000000,13624.4000000,12074.6000000
plain,65824,4,89757.0000000,45738.4000000,11257.8000000,16125.0000000
plain,65824,8,95212.0000000,31671.0000000,15931.2000000,23039.0000000
plain,65824,16,88197.2000000,12617.6000000,22199.6000000,20190.2000000
plain,131360,1,66818.6000000,3855.4000000,23878.0000000,6294.4000000
plain,131360,2,69933.6000000,23802.4000000,17299.0000000,6253.2000000
plain,131360,4,75923.0000000,38100.0000000,12407.8000000,9152.8000000
plain,131360,8,88038.2000000,44425.0000000,11874.4000000,15021.4000000
plain,131360,16,83186.8000000,13568.0000000,22371.4000000,15523.0000000
plain,262432,1,63740.0000000,995.6000000,24247.2000000,3204.6000000
plain,262432,2,64023.0000000,19768.2000000,17933.2000000,3274.8000000
plain,262432,4,68734.4000000,35774.2000000,12251.4000000,4686.8000000
plain,262432,8,82904.8000000,54148.4000000,8728.6000000,6712.8000000
plain,262432,16,101131.2000000,68262.8000000,7380.0000000,11090.2000000
plain,524576,1,61411.0000000,235.4000000,23859.4000000,1598.4000000
plain,524576,2,61931.0000000,19160.4000000,17938.8000000,1768.0000000
plain,524576,4,66048.6000000,35136.2000000,11857.2000000,2543.4000000
plain,524576,8,80005.2000000,56561.8000000,8036.0000000,3976.4000000
plain,524576,16,100891.6000000,79089.8000000,4585.2000000,7038.8000000
plain,1048864,1,64161.4000000,64.8000000,24460.8000000,805.8000000
plain,1048864,2,61145.2000000,19324.0000000,17591.4000000,956.4000000
plain,1048864,4,65893.8000000,36073.4000000,11509.0000000,1484.2000000
plain,1048864,8,79843.8000000,57935.8000000,7531.4000000,2725.4000000
plain,1048864,16,100954.2000000,79961.2000000,4448.6000000,5795.6000000
