type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,67671.8000000,52521.8000000,0,0
db,33056,2,231164.6000000,230574.0000000,0,4.6000000
db,33056,4,513.8000000,284.8000000,0,0
db,33056,8,476.8000000,290.0000000,0,0
db,33056,16,660.0000000,297.4000000,0,0
db,65824,1,4896.8000000,1.2000000,0,0
db,65824,2,622.6000000,237.8000000,0,0
db,65824,4,653.8000000,300.6000000,0,0
db,65824,8,517.6000000,275.6000000,0,0
db,65824,16,675.8000000,292.0000000,.2000000,0
db,131360,1,13302.4000000,1.0000000,0,0
db,131360,2,758.2000000,259.4000000,0,0
db,131360,4,532.8000000,312.0000000,0,0
db,131360,8,519.6000000,281.0000000,.2000000,0
db,131360,16,690.6000000,281.8000000,0,0
db,262432,1,9270.4000000,1.0000000,0,0
db,262432,2,812.2000000,227.0000000,0,0
db,262432,4,669.4000000,275.0000000,0,.4000000
db,262432,8,582.6000000,297.6000000,.6000000,0
db,262432,16,886.8000000,296.8000000,.6000000,0
db,524576,1,12285.4000000,2.0000000,0,0
db,524576,2,1008.4000000,155.0000000,0,0
db,524576,4,700.0000000,287.4000000,0,0
db,524576,8,639.8000000,292.8000000,.6000000,0
db,524576,16,687.8000000,275.2000000,0,0
db,1048864,1,21510.6000000,2.6000000,0,0
db,1048864,2,1116.2000000,165.4000000,0,0
db,1048864,4,861.6000000,323.8000000,0,0
db,1048864,8,669.8000000,277.2000000,.2000000,0
db,1048864,16,809.6000000,277.8000000,0,0
