type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,27670.8000000,1153.0000000,1750.6000000,5186.0000000
db,33056,2,11971.6000000,3254.6000000,2584.6000000,5789.4000000
db,33056,4,15318.4000000,3760.8000000,2384.8000000,8749.8000000
db,33056,8,19283.6000000,5539.6000000,2709.4000000,10379.8000000
db,33056,16,19904.4000000,1436.6000000,3375.8000000,10191.0000000
db,65824,1,32366.0000000,536.2000000,1681.0000000,2348.0000000
db,65824,2,7258.6000000,1794.4000000,2386.2000000,2597.6000000
db,65824,4,9078.0000000,2485.0000000,2200.6000000,3991.2000000
db,65824,8,11922.6000000,4321.0000000,2525.2000000,4457.2000000
db,65824,16,18822.4000000,8162.2000000,3045.0000000,5006.2000000
db,131360,1,40103.8000000,258.0000000,1745.2000000,1088.6000000
db,131360,2,4974.8000000,1133.2000000,2076.2000000,1248.6000000
db,131360,4,6152.6000000,1839.4000000,2006.0000000,1896.0000000
db,131360,8,9093.2000000,3570.0000000,2358.8000000,2052.0000000
db,131360,16,14675.0000000,7627.0000000,2941.6000000,2558.6000000
db,262432,1,28294.2000000,140.6000000,1642.4000000,557.0000000
db,262432,2,4531.2000000,836.6000000,1965.6000000,622.4000000
db,262432,4,5412.0000000,1625.6000000,1833.2000000,875.8000000
db,262432,8,7825.4000000,3373.4000000,2260.6000000,1020.4000000
db,262432,16,13115.4000000,7477.6000000,2790.0000000,1541.6000000
db,524576,1,41230.2000000,65.6000000,1689.6000000,281.8000000
db,524576,2,4495.0000000,639.8000000,2042.0000000,313.2000000
db,524576,4,5550.4000000,1673.6000000,1722.0000000,425.4000000
db,524576,8,8114.4000000,3702.6000000,2178.8000000,611.2000000
db,524576,16,13130.4000000,7719.4000000,2524.4000000,1139.0000000
db,1048864,1,78929.0000000,32.2000000,1726.8000000,175.0000000
db,1048864,2,5487.4000000,681.4000000,1990.6000000,160.6000000
db,1048864,4,6438.6000000,1845.2000000,1749.8000000,218.0000000
db,1048864,8,8307.4000000,3709.8000000,2003.4000000,345.0000000
db,1048864,16,12899.0000000,7382.6000000,2439.8000000,874.0000000
