type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,68988.8000000,1419.4000000,24875.4000000,11491.2000000
db,33056,2,77731.6000000,28350.0000000,15706.0000000,13224.6000000
db,33056,4,85271.8000000,42956.8000000,10185.8000000,18052.6000000
db,33056,8,107651.0000000,67671.4000000,6363.4000000,20388.8000000
db,33056,16,136648.2000000,95213.8000000,4390.2000000,21533.4000000
db,65824,1,65908.4000000,616.0000000,25223.0000000,4935.6000000
db,65824,2,68560.4000000,24816.0000000,17128.2000000,6405.4000000
db,65824,4,72379.2000000,38177.6000000,11316.0000000,8743.8000000
db,65824,8,91129.0000000,63476.4000000,6743.6000000,10864.8000000
db,65824,16,122337.2000000,90642.6000000,4440.2000000,14443.8000000
db,131360,1,61531.0000000,285.6000000,24991.2000000,2415.0000000
db,131360,2,64237.0000000,24079.2000000,17461.0000000,2849.0000000
db,131360,4,66465.8000000,37338.4000000,11077.8000000,4085.0000000
db,131360,8,84243.2000000,62669.6000000,6022.4000000,5505.4000000
db,131360,16,111910.0000000,89460.0000000,4258.2000000,9195.8000000
db,262432,1,71345.0000000,127.8000000,25138.4000000,1080.6000000
db,262432,2,62588.0000000,24148.2000000,17182.2000000,1316.8000000
db,262432,4,64866.4000000,38025.4000000,10595.0000000,2109.4000000
db,262432,8,82363.2000000,63922.4000000,5545.2000000,3586.8000000
db,262432,16,109057.2000000,89320.6000000,3973.4000000,7355.2000000
db,524576,1,63635.8000000,83.0000000,25234.2000000,574.4000000
db,524576,2,62689.4000000,24367.8000000,17294.6000000,656.4000000
db,524576,4,64838.0000000,38972.8000000,10187.0000000,1323.2000000
db,524576,8,81355.0000000,64199.0000000,5394.2000000,2732.0000000
db,524576,16,108184.2000000,89313.2000000,3925.6000000,6474.4000000
db,1048864,1,82650.2000000,25.4000000,24824.8000000,317.0000000
db,1048864,2,62807.2000000,24260.0000000,17244.6000000,377.2000000
db,1048864,4,65934.6000000,40261.8000000,9785.4000000,934.8000000
db,1048864,8,82571.6000000,64942.0000000,5189.0000000,2454.2000000
db,1048864,16,106309.4000000,89259.4000000,3794.2000000,6293.8000000
