type,logsize,thread,abort,conflict,capacity,explicit
db,33056,1,357890.8000000,338692.4000000,.2000000,0
db,33056,2,537.6000000,242.8000000,0,0
db,33056,4,541.4000000,305.0000000,0,0
db,33056,8,584.4000000,283.6000000,0,0
db,33056,16,711.8000000,291.2000000,.6000000,0
db,65824,1,14412.6000000,1.4000000,0,0
db,65824,2,687.6000000,259.4000000,0,0
db,65824,4,590.6000000,348.2000000,0,0
db,65824,8,560.4000000,299.6000000,.8000000,0
db,65824,16,677.8000000,306.2000000,0,0
db,131360,1,11796.6000000,1.6000000,0,0
db,131360,2,705.2000000,231.2000000,0,0
db,131360,4,560.4000000,288.6000000,0,0
db,131360,8,781.4000000,265.8000000,1.0000000,0
db,131360,16,667.4000000,296.4000000,.4000000,0
db,262432,1,13431.8000000,1.6000000,0,0
db,262432,2,727.4000000,254.0000000,0,0
db,262432,4,706.0000000,276.0000000,0,0
db,262432,8,542.8000000,283.6000000,0,2.2000000
db,262432,16,734.6000000,291.2000000,.6000000,7.4000000
db,524576,1,25289.2000000,2.2000000,0,0
db,524576,2,911.8000000,173.2000000,0,.2000000
db,524576,4,829.4000000,291.2000000,0,0
db,524576,8,697.8000000,263.2000000,.4000000,0
db,524576,16,719.0000000,290.8000000,0,0
db,1048864,1,29418.0000000,1.2000000,0,0
db,1048864,2,1683.6000000,181.6000000,0,0
db,1048864,4,1155.8000000,300.4000000,0,0
db,1048864,8,685.4000000,277.6000000,.2000000,0
db,1048864,16,799.6000000,281.4000000,.2000000,11.6000000
